timestamp,planner,seed,map,max_ticks,ticks_used,robots_requested,robots_spawned,dynamic_obstacles_requested,dynamic_obstacles_final,static_obstacles,total_obstacles_final,robots_completed,robots_failed,completion_rate,completion_success,collision_free,safe_success,safe_success_rate,makespan,average_completion_time,throughput,total_steps,completed_steps,average_steps_per_robot,average_steps_per_completed_robot,metrics_total_steps,total_collisions,total_conflicts,blocked_intents,actual_waits,total_replans,replan_rate,avg_blocked_ticks_per_robot,max_consecutive_blocked,q_table_path,q_states,q_epsilon,q_training,q_decisions,q_updates,q_wait_actions,q_yield_actions,q_replan_actions,metrics_collision_count,metrics_wait_count,metrics_replan_count
2026-06-30T06:43:38,prioritized,33,scenarios\warehouse-10-20-10-2-1.map,1000,199,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,199,155.8,0.05025125628140704,1554,1554,155.4,155.4,1554,0,4,4,4,2,0.001287001287001287,0.4,1,,0,0.0,False,0,0,0,0,0,0,4,2
2026-06-30T06:43:38,prioritized,34,scenarios\warehouse-10-20-10-2-1.map,1000,189,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,189,154.5,0.05291005291005291,1541,1541,154.1,154.1,1541,0,4,4,4,2,0.0012978585334198572,0.4,1,,0,0.0,False,0,0,0,0,0,0,4,2
2026-06-30T06:43:38,prioritized,35,scenarios\warehouse-10-20-10-2-1.map,1000,197,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,197,174.6,0.050761421319796954,1744,1744,174.4,174.4,1744,0,2,2,2,1,0.0005733944954128441,0.2,1,,0,0.0,False,0,0,0,0,0,0,2,1
2026-06-30T06:43:38,prioritized,36,scenarios\warehouse-10-20-10-2-1.map,1000,197,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,197,164.1,0.050761421319796954,1635,1635,163.5,163.5,1635,0,6,6,6,3,0.001834862385321101,0.6,1,,0,0.0,False,0,0,0,0,0,0,6,3
2026-06-30T06:43:39,prioritized,37,scenarios\warehouse-10-20-10-2-1.map,1000,166,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,166,156.1,0.060240963855421686,1559,1559,155.9,155.9,1559,0,2,2,2,1,0.0006414368184733803,0.2,1,,0,0.0,False,0,0,0,0,0,0,2,1
2026-06-30T06:43:39,prioritized,38,scenarios\warehouse-10-20-10-2-1.map,1000,177,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,177,158.1,0.05649717514124294,1581,1581,158.1,158.1,1581,0,0,0,0,0,0.0,0.0,0,,0,0.0,False,0,0,0,0,0,0,0,0
2026-06-30T06:43:39,prioritized,39,scenarios\warehouse-10-20-10-2-1.map,1000,173,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,173,156.2,0.057803468208092484,1560,1560,156.0,156.0,1560,0,2,2,2,1,0.000641025641025641,0.2,1,,0,0.0,False,0,0,0,0,0,0,2,1
2026-06-30T06:43:39,prioritized,40,scenarios\warehouse-10-20-10-2-1.map,1000,184,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,184,163.7,0.05434782608695652,1637,1637,163.7,163.7,1637,0,0,0,0,0,0.0,0.0,0,,0,0.0,False,0,0,0,0,0,0,0,0
2026-06-30T06:43:39,prioritized,41,scenarios\warehouse-10-20-10-2-1.map,1000,199,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,199,168.2,0.05025125628140704,1679,1679,167.9,167.9,1679,0,3,3,3,1,0.0005955926146515784,0.3,2,,0,0.0,False,0,0,0,0,0,0,3,1
2026-06-30T06:43:39,prioritized,42,scenarios\warehouse-10-20-10-2-1.map,1000,193,10,10,10,0,4444,4444,10,0,1.0,True,True,True,1.0,193,158.0,0.05181347150259067,1578,1578,157.8,157.8,1578,0,2,2,2,1,0.0006337135614702154,0.2,1,,0,0.0,False,0,0,0,0,0,0,2,1
